Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA20,MA50,MA200,RSI,MACD,Signal_Line,BB_Middle,BB_Upper,BB_Lower,Year,Month,Day,DayOfWeek,Quarter,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Returns,Log_Returns,Volatility,Momentum
2020-06-29 00:00:00-04:00,85.84586303787991,88.01358066282918,85.36711865011787,87.9188003540039,130646000,0.0,0.0,,,,,0.0,0.0,,,,2020,6,29,0,2,1.2246467991473532e-16,-1.0,0.0,1.0,,,,
2020-06-30 00:00:00-04:00,87.50565292250278,88.9394607092836,87.48621480460635,88.65269470214844,140223200,0.0,0.0,,,,,0.05854427848446164,0.01170885569689233,,,,2020,6,30,1,2,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.008347410851712311,0.008312763892490672,,
2020-07-01 00:00:00-04:00,88.73048098963713,89.27483740277849,88.43643211464202,88.48503112792969,110737200,0.0,0.0,,,,,0.0903702596558702,0.027441136488687908,,,,2020,7,1,2,3,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,-0.0018912405853207526,-0.0018930312388571442,,
2020-07-02 00:00:00-04:00,89.3939209303781,90.03062510995592,88.3708201093687,88.48503112792969,114041600,0.0,0.0,,,,,0.11427528468013293,0.04480796612697692,,,,2020,7,2,3,3,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.0,0.0,,
2020-07-06 00:00:00-04:00,89.91637951083226,91.3210188724847,89.88478608277487,90.85199737548828,118655600,0.0,0.0,,,,,0.3205198307615831,0.09995033905389816,,,,2020,7,6,0,3,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.026749905801993545,0.026398382110668455,,
2020-07-07 00:00:00-04:00,91.23112914431677,92.01121263205987,90.45833587921427,90.57012176513672,112424400,0.0,0.0,,,,,0.4559689867715946,0.17115406859743748,,,,2020,7,7,1,3,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,-0.003102580223818041,-0.0031074032042132174,,0.030156478483069682
2020-07-08 00:00:00-04:00,91.54948299500866,92.71110546141183,91.46199290533191,92.67951202392578,117092000,0.0,0.0,,,,,0.7251643406227544,0.28195612300250084,,,,2020,7,8,2,3,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.023290133850753403,0.0230230575618488,,0.04542239054668862
2020-07-09 00:00:00-04:00,93.57378326638127,93.62724735467383,92.02819721331936,93.07803344726562,125642800,0.0,0.0,,,,,0.9595992830731603,0.41748475501663274,,,,2020,7,9,3,3,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.004299994838524501,0.0042907762777800815,,0.051907110850144544
2020-07-10 00:00:00-04:00,92.67218532454267,93.29917390215473,92.05978460305137,93.2408447265625,90257200,0.0,0.0,,,,,1.145325573277944,0.563052918668895,,,,2020,7,10,4,3,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.001749191224469815,0.0017476631711454119,,0.053747097537401034
2020-07-13 00:00:00-04:00,94.54830204332501,97.16317034048585,92.59687358818513,92.81072998046875,191649200,0.0,0.0,,,,,1.24347433288645,0.699137201512406,,,,2020,7,13,0,3,-0.4999999999999997,-0.8660254037844388,0.0,1.0,-0.0046129434729500485,-0.0046236159303019225,,0.02155959870518953
